,Fine,On Fire,Burned Out,Fire Put Out,Total steps of the fire forest
0,8938,91,0,0,1
1,8848,54,127,0,1
2,8758,54,217,0,2
3,8643,66,320,0,3
4,8543,58,428,0,4
5,8465,44,520,0,5
6,8394,46,589,0,6
7,8322,38,669,0,7
8,8267,33,729,0,8
9,8197,40,792,0,9
10,8118,41,870,0,10
11,8063,32,934,0,11
12,8011,34,984,0,12
13,7956,35,1038,0,13
14,7884,48,1097,0,14
15,7812,41,1176,0,15
16,7747,35,1247,0,16
17,7700,32,1297,0,17
18,7656,26,1347,0,18
19,7596,34,1399,0,19
20,7540,30,1459,0,20
21,7487,31,1511,0,21
22,7437,30,1562,0,22
23,7387,30,1612,0,23
24,7336,26,1667,0,24
25,7294,21,1714,0,25
26,7248,29,1752,0,26
27,7220,18,1791,0,27
28,7195,16,1818,0,28
29,7162,22,1845,0,29
30,7123,22,1884,0,30
31,7084,28,1917,0,31
32,7043,25,1961,0,32
33,7010,17,2002,0,33
34,6959,28,2042,0,34
35,6915,20,2094,0,35
36,6889,16,2124,0,36
37,6864,15,2150,0,37
38,6843,9,2177,0,38
39,6822,14,2193,0,39
40,6792,13,2224,0,40
41,6773,10,2246,0,41
42,6764,6,2259,0,42
43,6755,8,2266,0,43
44,6739,9,2281,0,44
45,6722,12,2295,0,45
46,6706,13,2310,0,46
47,6678,17,2334,0,47
48,6647,16,2366,0,48
49,6601,26,2402,0,49
50,6551,28,2450,0,50
51,6496,25,2508,0,51
52,6451,27,2551,0,52
53,6409,29,2591,0,53
54,6365,27,2637,0,54
55,6302,36,2691,0,55
56,6235,34,2760,0,56
57,6180,29,2820,0,57
58,6116,32,2881,0,58
59,6072,24,2933,0,59
60,6019,26,2984,0,60
61,5973,30,3026,0,61
62,5927,29,3073,0,62
63,5895,18,3116,0,63
64,5851,28,3150,0,64
65,5782,39,3208,0,65
66,5715,43,3271,0,66
67,5638,42,3349,0,67
68,5581,36,3412,0,68
69,5506,45,3478,0,69
70,5438,44,3547,0,70
71,5367,45,3617,0,71
72,5300,42,3687,0,72
73,5219,47,3763,0,73
74,5140,43,3846,0,74
75,5027,57,3945,0,75
76,4919,54,4056,0,76
77,4826,55,4148,0,77
78,4727,52,4250,0,78
79,4653,42,4334,0,79
80,4597,36,4396,0,80
81,4533,32,4464,0,81
82,4474,27,4528,0,82
83,4435,22,4572,0,83
84,4386,27,4616,0,84
85,4338,23,4668,0,85
86,4307,23,4699,0,86
87,4260,22,4747,0,87
88,4221,20,4788,0,88
89,4179,24,4826,0,89
90,4131,23,4875,0,90
91,4105,21,4903,0,91
92,4064,28,4937,0,92
93,4022,26,4981,0,93
94,3979,25,5025,0,94
95,3934,22,5073,0,95
96,3905,14,5110,0,96
97,3889,12,5128,0,97
98,3868,12,5149,0,98
99,3861,4,5164,0,99
100,3858,1,5170,0,100
101,3856,2,5171,0,101
102,3838,8,5183,0,102
103,3826,8,5195,0,103
104,3812,11,5206,0,104
105,3782,17,5230,0,105
106,3749,14,5266,0,106
107,3726,17,5286,0,107
108,3697,17,5315,0,108
109,3669,16,5344,0,109
110,3641,14,5374,0,110
111,3619,16,5394,0,111
112,3588,16,5425,0,112
113,3548,19,5462,0,113
114,3535,4,5490,0,114
115,3523,8,5498,0,115
116,3498,15,5516,0,116
117,3474,15,5540,0,117
118,3448,12,5569,0,118
119,3434,13,5582,0,119
120,3412,13,5604,0,120
121,3403,5,5621,0,121
122,3397,3,5629,0,122
123,3394,3,5632,0,123
124,3389,1,5639,0,124
125,3389,0,5640,0,125
