,density,wind,Run,Burned Out,Fine,Fire Put Out,Number of clusters (Fine),Number of clusters (Fire Put Out),On Fire,Total steps of the fire forest,width,height
0,0.65,43.0,0,6065,45,484,31,399,0,43,100,100
1,0.65,43.0,1,5949,36,472,25,392,0,49,100,100
2,0.65,43.0,2,6008,36,505,26,422,0,45,100,100
3,0.65,43.0,3,5976,38,500,26,400,0,46,100,100
4,0.65,43.0,4,6008,73,474,33,390,0,43,100,100
5,0.65,43.0,5,5891,72,491,40,388,0,44,100,100
6,0.65,43.0,6,5899,60,485,26,400,0,44,100,100
7,0.65,43.0,7,5933,70,492,38,394,0,47,100,100
8,0.65,43.0,8,6026,36,494,19,406,0,46,100,100
9,0.65,43.0,9,5982,30,472,23,388,0,44,100,100
10,0.65,43.0,10,5982,47,493,23,404,0,47,100,100
11,0.65,43.0,11,5928,69,490,34,393,0,42,100,100
12,0.65,43.0,12,5968,46,470,27,383,0,45,100,100
13,0.65,43.0,13,5932,57,461,26,385,0,48,100,100
14,0.65,43.0,14,5928,62,495,28,392,0,44,100,100
15,0.65,43.0,15,5997,35,502,21,411,0,45,100,100
16,0.65,43.0,16,6032,48,470,27,378,0,43,100,100
17,0.65,43.0,17,6042,43,458,33,387,0,45,100,100
18,0.65,43.0,18,5980,51,491,26,407,0,46,100,100
19,0.65,43.0,19,5929,86,466,31,393,0,43,100,100
20,0.65,43.0,20,5991,46,446,32,386,0,45,100,100
21,0.65,43.0,21,5957,66,500,30,410,0,45,100,100
22,0.65,43.0,22,5983,38,512,20,398,0,45,100,100
23,0.65,43.0,23,5975,69,480,38,391,0,42,100,100
24,0.65,43.0,24,6033,40,461,24,381,0,42,100,100
25,0.65,43.0,25,5984,42,456,26,374,0,48,100,100
26,0.65,43.0,26,5849,67,485,27,394,0,47,100,100
27,0.65,43.0,27,5955,40,488,27,399,0,45,100,100
28,0.65,43.0,28,6045,32,471,19,386,0,42,100,100
29,0.65,43.0,29,6006,45,489,29,396,0,44,100,100
30,0.65,43.0,30,5874,91,497,41,416,0,46,100,100
31,0.65,43.0,31,6034,29,489,20,387,0,46,100,100
32,0.65,43.0,32,5896,82,480,37,407,0,46,100,100
