,Fine,On Fire,Burned Out,Fire Put Out,Total steps of the fire forest
0,5001,53,0,0,1
1,4939,33,70,12,1
2,4880,36,120,18,2
3,4823,36,168,27,3
4,4745,39,228,42,4
5,4668,43,291,52,5
6,4599,31,362,62,6
7,4527,42,417,68,7
8,4459,32,488,75,8
9,4410,28,531,85,9
10,4357,23,585,89,10
11,4298,27,632,97,11
12,4252,26,670,106,12
13,4188,42,715,109,13
14,4101,53,785,115,14
15,4012,52,866,124,15
16,3915,56,946,137,16
17,3827,51,1030,146,17
18,3725,63,1106,160,18
19,3618,59,1207,170,19
20,3540,46,1285,183,20
21,3513,18,1328,195,21
22,3476,24,1357,197,22
23,3419,33,1397,205,23
24,3366,28,1451,209,24
25,3317,33,1492,212,25
26,3252,36,1540,226,26
27,3194,34,1594,232,27
28,3140,28,1650,236,28
29,3064,45,1703,242,29
30,2974,45,1785,250,30
31,2917,36,1847,254,31
32,2854,39,1903,258,32
33,2747,49,1984,274,33
34,2644,54,2067,289,34
35,2559,44,2145,306,35
36,2481,52,2202,319,36
37,2396,49,2279,330,37
38,2316,46,2352,340,38
39,2210,55,2441,348,39
40,2125,46,2525,358,40
41,2052,47,2587,368,41
42,1950,46,2672,386,42
43,1868,40,2747,399,43
44,1798,46,2804,406,44
45,1716,49,2876,413,45
46,1616,55,2955,428,46
47,1551,43,3021,439,47
48,1448,51,3105,450,48
49,1356,56,3180,462,49
50,1283,36,3264,471,50
51,1242,20,3306,486,51
52,1209,16,3339,490,52
53,1194,8,3360,492,53
54,1186,3,3370,495,54
55,1184,1,3374,495,55
56,1183,1,3375,495,56
57,1177,4,3378,495,57
58,1176,1,3381,496,58
59,1176,0,3382,496,59
